Time,Linear Pos X,Linear  Pos Y,Linear Pos Z,Angular Pos X,Angular Pos Y,Angular Pos Z,Lineal Vel X,Lineal Vel Y,Lineal Vel Z,Angular Vel X,Angular Vel Y,Angular Vel Z
1681947772,0.9043114087976454,0.9428854744898402,0.6925755807180481,0.11174702828443452,0.0006625861119276813,-0.6514648839308218,-0.058543733289157636,-0.05289709619131405,0.07690957530847957,0.0,0.0,0.1
1681947773,0.8763674203235639,0.9421980841996096,0.7200357315972437,0.10540808855449464,0.0012924708529623461,-0.6191914951718421,-0.06279586912643988,-6.495217183413032e-05,0.011565585798812256,0.0,0.0,0.1
1681947774,0.8602822929813664,0.95173100858149,0.7552192329378848,0.10346749040080981,0.0012774080071481625,-0.6043071592959081,-0.018459474272695182,-0.18277675378079236,-0.20487065236868837,0.0,0.0,0.1
1681947775,-0.2986600391942863,-0.012353556978976447,0.5407568588192918,-0.6722067988311548,0.025103711889584598,-0.014708277004970006,-0.3,0.3,0.5,0.0,0.0,0.1
1681947775,-0.29026721257683147,0.09965353826127403,0.52207655528143,-0.5825087497360818,0.035211053554828925,-0.08828256239714824,0.3,0.3,-0.08850845554796227,0.0,0.0,-0.1
1681947776,-0.27131759964240615,0.1558650938881963,0.4139870785883836,-0.5816219113425157,0.025872705552287083,-0.10125211556657686,0.11925945948334202,0.3,0.22227641830881326,0.0,0.0,-0.1
1681947777,-0.44578946102704176,1.1643707917416528,0.41892961912757254,-0.26348332580111683,-0.027422379092357747,-0.11499613051275401,0.24632231275203398,-0.3,0.17881469407304254,0.0,0.0,-0.1
1681947778,-0.04878221205428408,1.6968950393180773,0.2530738113080067,-0.2552853487830592,-0.044360593548417156,-0.15997965814075174,0.22637045985454368,-0.3,0.0218731572003579,0.0,0.0,-0.1
1681947779,0.22357230163349437,1.4773779849543136,0.542517683139325,-0.24746233389803604,-0.056592342196853246,-0.20186954489171144,-0.3,0.12060953097819788,0.011598806881994828,0.0,0.0,-0.1
1681947779,0.37539463791783906,1.090637600627682,0.742369570462458,-0.23839237106679978,-0.07204302533626335,-0.23065351274048057,0.0,0.0,0.0,0.0,0.0,0.0
1681947780,0.42338510634316373,0.9130134138253397,0.6870671667451891,-0.22846031991994206,-0.08829955652178725,-0.27096273099388385,0.0,0.0,0.0,0.0,0.0,0.0
1681947781,0.6781871020941921,0.4565812622937409,0.2202432014639299,-0.20762002400714288,-0.061117702288916644,-0.27899603094289954,0.0,0.0,0.0,0.0,0.0,0.0
1681947782,0.1522290671683742,0.5518700290222953,0.11386339987336998,-0.19717708338035447,-0.04436421941210867,-0.2895693168946241,0.0,0.0,0.0,0.0,0.0,0.0
1681947783,0.1522290671683742,0.5518700290222953,0.11386339987336998,-0.19717708338035447,-0.04436421941210867,-0.2895693168946241,0.0,0.0,0.0,0.0,0.0,0.0
1681947783,0.1522290671683742,0.5518700290222953,0.11386339987336998,-0.19717708338035447,-0.04436421941210867,-0.2895693168946241,0.0,0.0,0.0,0.0,0.0,0.0
1681947784,0.1522290671683742,0.5518700290222953,0.11386339987336998,-0.19717708338035447,-0.04436421941210867,-0.2895693168946241,0.0,0.0,0.0,0.0,0.0,0.0
1681947785,0.1522290671683742,0.5518700290222953,0.11386339987336998,-0.19717708338035447,-0.04436421941210867,-0.2895693168946241,0.0,0.0,0.0,0.0,0.0,0.0
1681947786,0.1522290671683742,0.5518700290222953,0.11386339987336998,-0.19717708338035447,-0.04436421941210867,-0.2895693168946241,0.0,0.0,0.0,0.0,0.0,0.0
